unitid,Year,UG FT,UG PT,UG total enrollment,UG total FTE ,GR FT,GR PT,GR total enrollment,GR total FTE,Total enrollment,Total FTE
115047,2001,,,0,0,253,145,398,332,398,332
115083,2001,178,893,1071,529,1032,2740,3772,2123,4843,2652
115126,2001,4062,10223,14285,8121,0,0,0,0,14285,8121
115214,2001,,,0,0,262,28,290,273,290,273
115296,2001,6631,10852,17483,10940,0,0,0,0,17483,10940
115357,2001,48,,48,48,0,0,0,0,48,48
115393,2001,2493,6964,9457,5258,0,0,0,0,9457,5258
115409,2001,703,3,706,704,1,0,1,1,707,705
115454,2001,664,,664,664,0,0,0,0,664,664
115472,2001,691,1,692,691,0,0,0,0,692,691
115481,2001,163,10,173,167,0,0,0,0,173,167
115490,2001,1070,,1070,1070,0,0,0,0,1070,1070
115515,2001,899,,899,899,0,0,0,0,899,899
115533,2001,1200,35,1235,1214,0,0,0,0,1235,1214
115658,2001,44,79,123,75,0,0,0,0,123,75
115728,2001,300,206,506,381,107,219,326,191,832,572
115746,2001,,,0,0,545,20,565,553,565,553
115755,2001,5811,731,6542,6106,523,317,840,638,7382,6744
115773,2001,446,182,628,517,26,4,30,28,658,545
115782,2001,7,25,32,17,0,0,0,0,32,17
115861,2001,2561,4334,6895,4282,0,0,0,0,6895,4282
115931,2001,258,,258,258,0,0,0,0,258,258
116040,2001,286,,286,286,0,0,0,0,286,286
116226,2001,99,299,398,216,0,0,0,0,398,216
116235,2001,191,,191,191,0,0,0,0,191,191
116350,2001,26,27,53,37,0,0,0,0,53,37
116439,2001,2150,8307,10457,5448,0,0,0,0,10457,5448
116466,2001,885,,885,885,0,0,0,0,885,885
116475,2001,806,4,810,808,0,0,0,0,810,808
116484,2001,682,15,697,688,0,0,0,0,697,688
116563,2001,350,,350,350,0,0,0,0,350,350
116624,2001,,,0,0,108,60,168,132,168,132
116712,2001,20,190,210,95,603,710,1313,877,1523,972
116846,2001,100,8,108,103,101,20,121,109,229,212
117052,2001,3785,6750,10535,6465,0,0,0,0,10535,6465
117104,2001,357,123,480,405,0,0,0,0,480,405
117113,2001,432,165,597,497,0,0,0,0,597,497
117140,2001,2112,1702,3814,2781,1539,1930,3469,2283,7283,5064
117168,2001,264,32,296,277,0,0,0,0,296,277
117186,2001,53,,53,53,0,0,0,0,53,53
117195,2001,542,2763,3305,1639,0,0,0,0,3305,1639
117238,2001,182,,182,182,0,0,0,0,182,182
117247,2001,2683,8941,11624,6233,0,0,0,0,11624,6233
117274,2001,672,1817,2489,1393,0,0,0,0,2489,1393
117520,2001,,,0,0,520,79,599,563,599,563
117575,2001,39,60,99,63,43,41,84,60,183,123
117627,2001,1130,198,1328,1208,90,148,238,147,1566,1355
117636,2001,725,254,979,825,1765,418,2183,1925,3162,2750
117645,2001,6216,13953,20169,11756,0,0,0,0,20169,11756
117672,2001,,,0,0,583,28,611,595,611,595
117690,2001,2752,6917,9669,5498,0,0,0,0,9669,5498
117706,2001,4914,13618,18532,10321,0,0,0,0,18532,10321
117715,2001,1635,5169,6804,3687,0,0,0,0,6804,3687
117724,2001,3879,10266,14145,7955,0,0,0,0,14145,7955
117733,2001,4761,13227,17988,10013,0,0,0,0,17988,10013
117751,2001,1107,69,1176,1134,167,181,348,253,1524,1387
117788,2001,5143,18686,23829,12562,0,0,0,0,23829,12562
117797,2001,20,,20,20,0,0,0,0,20,20
117803,2001,,189,189,75,0,0,0,0,189,75
117867,2001,1784,5454,7238,3950,0,0,0,0,7238,3950
117894,2001,1986,7867,9853,5110,0,0,0,0,9853,5110
117928,2001,279,66,345,305,0,0,0,0,345,305
117946,2001,4808,336,5144,4940,2027,750,2777,2369,7921,7309
118116,2001,80,,80,80,0,0,0,0,80,80
118125,2001,68,,68,68,0,0,0,0,68,68
118134,2001,61,102,163,101,0,0,0,0,163,101
118143,2001,29,19,48,37,0,0,0,0,48,37
118161,2001,70,,70,70,0,0,0,0,70,70
118189,2001,214,,214,214,0,0,0,0,214,214
118198,2001,1444,,1444,1444,0,0,0,0,1444,1444
118259,2001,271,,271,271,0,0,0,0,271,271
118277,2001,1803,37,1840,1818,0,0,0,0,1840,1818
118286,2001,763,,763,763,0,0,0,0,763,763
118338,2001,,513,513,172,0,0,0,0,513,172
118347,2001,1631,6844,8475,4348,0,0,0,0,8475,4348
118356,2001,53,,53,53,0,0,0,0,53,53
118374,2001,33,,33,33,0,0,0,0,33,33
118383,2001,57,,57,57,0,0,0,0,57,57
118392,2001,54,,54,54,0,0,0,0,54,54
118417,2001,76,,76,76,0,0,0,0,76,76
118426,2001,75,,75,75,0,0,0,0,75,75
118435,2001,54,,54,54,0,0,0,0,54,54
118444,2001,32,,32,32,0,0,0,0,32,32
118453,2001,87,,87,87,0,0,0,0,87,87
118480,2001,67,,67,67,0,0,0,0,67,67
118541,2001,689,91,780,725,0,0,0,0,780,725
118684,2001,893,4123,5016,2530,0,0,0,0,5016,2530
118693,2001,624,13,637,629,0,0,0,0,637,629
118709,2001,,,0,0,52,95,147,94,147,94
